Disease,Symptoms,Medications,Precautions,Description
Flu,"fever,cough,sore throat","Paracetamol,Antiviral drugs","Rest,stay hydrated,avoid contact","Flu is a contagious respiratory illness caused by influenza viruses, leading to fever and cough."
Migraine,"headache,nausea,sensitivity to light","Ibuprofen,Triptans","Avoid triggers,rest in dark room","Migraine is a severe headache disorder often accompanied by nausea and sensitivity to light."
Common Cold,"runny nose,sneezing,cough","Decongestants,Antihistamines","Stay warm,drink fluids","Common Cold is a viral infection causing nasal congestion, sneezing, and mild symptoms."
Allergy,"itchy eyes,rash,wheezing","Antihistamines,Corticosteroids","Avoid allergens,use air purifiers","Allergies occur when the immune system overreacts to substances like pollen or dust."
Gastritis,"stomach pain,bloating,vomiting","Antacids,Proton pump inhibitors","Avoid spicy foods,eat small meals","Gastritis is inflammation of the stomach lining, causing pain and digestive discomfort."
Urinary Tract Infection,"burning urination,frequent urination,pelvic pain","Antibiotics,Pain relievers","Drink plenty of water,maintain hygiene","UTI is a bacterial infection in the urinary system, causing painful and frequent urination."
Conjunctivitis,"red eyes,eye discharge,itching","Antibiotic eye drops,Antihistamine drops","Avoid touching eyes,wash hands frequently","Conjunctivitis, or pink eye, is an infection or inflammation of the eye's surface."
Sprained Ankle,"ankle pain,swelling,bruising","Pain relievers,Ice packs","Rest,elevate ankle,use compression","A sprained ankle is an injury to the ankle ligaments, causing pain and swelling."
Hypertension,"high blood pressure,dizziness,chest pain","ACE inhibitors,Diuretics","Reduce salt intake,exercise regularly","Hypertension, or high blood pressure, strains the heart and blood vessels."
Diabetes,"increased thirst,frequent urination,fatigue","Metformin,Insulin","Monitor blood sugar,eat balanced diet","Diabetes is a chronic condition where blood sugar levels are high due to insulin problems."
Asthma,"wheezing,shortness of breath,chest tightness","Inhaled corticosteroids,Bronchodilators","Avoid triggers,use inhaler as prescribed","Asthma is a lung condition causing breathing difficulties due to inflamed airways."
Arthritis,"joint pain,stiffness,swelling","NSAIDs,DMARDs","Stay active,maintain healthy weight","Arthritis is joint inflammation, leading to pain and reduced mobility."
Hepatitis B,"jaundice,dark urine,abdominal pain","Antiviral drugs,Interferons","Get vaccinated,avoid sharing needles","Hepatitis B is a viral liver infection spread through blood or bodily fluids."
Pneumonia,"fever,chills,cough with phlegm","Antibiotics,Antipyretics","Stay hydrated,avoid smoking","Pneumonia is a lung infection causing cough, fever, and breathing difficulties."
Bronchitis,"persistent cough,mucus production,fatigue","Cough suppressants,Bronchodilators","Rest,avoid irritants like smoke","Bronchitis is inflammation of the bronchial tubes, causing cough and mucus."
GERD,"heartburn,regurgitation,chest discomfort","Proton pump inhibitors,H2 blockers","Avoid trigger foods,eat smaller meals","GERD is acid reflux causing heartburn and chest discomfort from stomach acid."
Eczema,"dry skin,itching,red patches","Topical corticosteroids,Moisturizers","Avoid irritants,keep skin hydrated","Eczema is a chronic skin condition causing itchy, inflamed patches."
Psoriasis,"scaly skin,itching,red plaques","Topical steroids,Biologics","Manage stress,avoid skin injury","Psoriasis is a chronic autoimmune condition causing scaly, red skin patches."
HIV/AIDS,"fever,night sweats,weight loss","Antiretroviral therapy","Use condoms,get regular testing","HIV/AIDS is a viral infection that weakens the immune system over time."
Chlamydia,"painful urination,abnormal discharge","Antibiotics","Practice safe sex,get screened regularly","Chlamydia is a bacterial sexually transmitted infection affecting the genitals."
Measles,"rash,high fever,cough","Supportive care,Vitamin A","Get vaccinated,avoid contact with infected","Measles is a highly contagious viral infection causing fever and a distinctive rash."
Chickenpox,"itchy rash,fever,fatigue","Antihistamines,Antipyretics","Avoid scratching,isolate during illness","Chickenpox is a viral infection causing an itchy rash and fever, common in children."
Dengue Fever,"high fever,severe headache,joint pain","Paracetamol,IV fluids","Avoid mosquito bites,stay hydrated","Dengue Fever is a mosquito-borne viral illness causing severe fever and pain."
Malaria,"fever,chills,sweating","Antimalarial drugs","Use mosquito nets,take prophylactic drugs","Malaria is a parasitic infection spread by mosquitoes, causing fever and chills."
Tuberculosis,"chronic cough,weight loss,night sweats","Antibiotics","Complete treatment,avoid close contact","Tuberculosis is a bacterial lung infection spread through coughing."
Meningitis,"stiff neck,fever,severe headache","Antibiotics,Antivirals","Get vaccinated,avoid crowded places","Meningitis is an infection of the brain and spinal cord membranes."
Whooping Cough,"severe coughing fits,vomiting,fatigue","Antibiotics,Cough suppressants","Get vaccinated,cover mouth when coughing","Whooping Cough is a bacterial infection causing intense coughing fits."
Lyme Disease,"bullseye rash,joint pain,fatigue","Antibiotics","Avoid tick bites,check skin after outdoor activity","Lyme Disease is a bacterial infection from tick bites, causing rash and joint pain."
Shingles,"painful rash,tingling,fever","Antiviral drugs,Pain relievers","Get vaccinated,manage stress","Shingles is a viral infection causing a painful rash, often in older adults."
Gout,"sudden joint pain,swelling,redness","NSAIDs,Colchicine","Limit purine-rich foods,stay hydrated","Gout is a type of arthritis caused by uric acid buildup, leading to joint pain."
Fibromyalgia,"widespread pain,fatigue,sleep issues","Antidepressants,Pain relievers","Exercise regularly,manage stress","Fibromyalgia is a chronic condition causing widespread pain and fatigue."
Osteoporosis,"back pain,fractures,stooped posture","Bisphosphonates,Calcium supplements","Weight-bearing exercise,avoid falls","Osteoporosis weakens bones, increasing the risk of fractures."
Rosacea,"facial redness,pimples,visible blood vessels","Topical antibiotics,Oral antibiotics","Avoid triggers,use gentle skincare","Rosacea is a chronic skin condition causing facial redness and pimples."
Scleroderma,"tight skin,joint pain,Raynaud’s phenomenon","Immunosuppressants,Vasodilators","Keep warm,protect skin","Scleroderma is an autoimmune disease causing skin and tissue hardening."
Pemphigus,"skin blisters,mouth sores,itching","Corticosteroids,Immunosuppressants","Avoid skin trauma,monitor for infections","Pemphigus is a rare autoimmune disorder causing skin and mouth blisters."
Fibrous Dysplasia,"bone pain,deformities,fractures","Bisphosphonates,Pain relievers","Avoid high-impact activities,regular check-ups","Fibrous Dysplasia is a bone disorder where normal bone is replaced with fibrous tissue."
Raynaud’s Phenomenon,"cold fingers,color changes,numbness","Calcium channel blockers,Vasodilators","Keep warm,avoid stress","Raynaud’s Phenomenon causes fingers and toes to feel cold and numb due to blood vessel spasms."
Reactive Arthritis,"joint pain,red eyes,urinary issues","NSAIDs,Antibiotics","Treat underlying infections,rest joints","Reactive Arthritis is joint inflammation triggered by an infection elsewhere in the body."
Scoliosis,"uneven shoulders,back pain,curved spine","Pain relievers,Bracing","Regular monitoring,physical therapy","Scoliosis is an abnormal sideways curvature of the spine."
Alzheimer’s Disease,"memory loss,confusion,mood changes","Cholinesterase inhibitors,Memantine","Stay mentally active,maintain routine","Alzheimer’s is a progressive brain disorder affecting memory and cognitive function."
Parkinson’s Disease,"tremors,slow movement,stiffness","Levodopa,Dopamine agonists","Exercise regularly,avoid falls","Parkinson’s is a brain disorder causing movement problems like tremors and stiffness."
Breast Cancer,"breast lump,nipple discharge,skin changes","Chemotherapy,Hormonal therapy","Regular screenings,healthy lifestyle","Breast Cancer is a malignant growth in breast tissue, often detected as a lump."
Peptic Ulcer,"burning stomach pain,nausea,bloating","Proton pump inhibitors,Antibiotics","Avoid NSAIDs,reduce stress","Peptic Ulcer is a sore in the stomach or small intestine lining, causing burning pain."
Chronic Fatigue Syndrome,"extreme fatigue,muscle pain,poor sleep","Antidepressants,Pain relievers","Pace activities,ensure adequate rest","Chronic Fatigue Syndrome causes severe, persistent tiredness not relieved by rest."
Endometriosis,"pelvic pain,painful periods,infertility","Hormonal therapy,Pain relievers","Manage stress,consider dietary changes","Endometriosis is a condition where uterine tissue grows outside the uterus, causing pain."
Polycystic Ovary Syndrome,"irregular periods,weight gain,acne","Hormonal contraceptives,Metformin","Maintain healthy weight,exercise regularly","PCOS is a hormonal disorder affecting reproductive and metabolic health."
Hyperlipidemia,"high cholesterol,no symptoms until advanced","Statins,Fibrates","Low-fat diet,regular cholesterol screening","Hyperlipidemia is high cholesterol or triglycerides, increasing heart disease risk."
Menstrual Cramps,"lower abdominal pain,nausea,fatigue","NSAIDs,Hormonal contraceptives","Apply heat,stay hydrated","Menstrual Cramps are painful sensations in the lower abdomen during menstruation."
Obesity,"excessive weight,joint pain,breathlessness","Weight loss medications,Lifestyle changes","Balanced diet,regular exercise","Obesity is excessive body weight, increasing risks for heart disease and diabetes."
Atopic Dermatitis,"itchy skin,redness,scaling","Topical corticosteroids,Antihistamines","Avoid triggers,keep skin moisturized","Atopic Dermatitis is a chronic skin condition causing itching and inflamed skin."
Anemia,"fatigue,weakness,pale skin","Iron supplements,Vitamin B12","Eat iron-rich foods,regular blood tests","Anemia is a condition with low red blood cells, causing tiredness and weakness."
Celiac Disease,"diarrhea,abdominal pain,weight loss","Gluten-free diet,Supportive care","Avoid gluten,monitor nutrient levels","Celiac Disease is an autoimmune disorder triggered by gluten, damaging the small intestine."
Epilepsy,"seizures,confusion,loss of consciousness","Anticonvulsants,Supportive care","Avoid seizure triggers,regular check-ups","Epilepsy is a neurological disorder causing recurrent seizures."
Thyroiditis,"neck pain,fatigue,weight changes","Levothyroxine,Beta blockers","Monitor thyroid levels,reduce stress","Thyroiditis is inflammation of the thyroid gland, affecting hormone production."
Lupus,"joint pain,rash,fatigue","Immunosuppressants,NSAIDs","Avoid sun exposure,manage stress","Lupus is an autoimmune disease causing inflammation in joints, skin, and organs."
Kidney Stones,"severe back pain,blood in urine,nausea","Pain relievers,Alpha blockers","Drink plenty of water,limit sodium","Kidney Stones are hard deposits in the kidneys, causing intense pain."
Glaucoma,"blurred vision,eye pain,halos","Eye drops,Beta blockers","Regular eye exams,avoid eye strain","Glaucoma is an eye condition damaging the optic nerve, leading to vision loss."
Hepatitis C,"fatigue,jaundice,abdominal pain","Antiviral drugs,Supportive care","Avoid alcohol,regular liver tests","Hepatitis C is a viral infection causing liver inflammation and potential damage."
Diverticulitis,"abdominal pain,fever,nausea","Antibiotics,Pain relievers","High-fiber diet,stay hydrated","Diverticulitis is inflammation of pouches in the colon, causing pain."
Chronic Kidney Disease,"swelling,fatigue,high blood pressure","ACE inhibitors,Diuretics","Monitor kidney function,low-protein diet","Chronic Kidney Disease is progressive kidney damage, reducing filtration ability."
Irritable Bowel Syndrome,"abdominal pain,diarrhea,constipation","Antispasmodics,Fiber supplements","Manage stress,avoid trigger foods","IBS is a chronic disorder affecting the large intestine, causing digestive issues."
Tonsillitis,"sore throat,swollen tonsils,fever","Antibiotics,Pain relievers","Rest,gargle salt water","Tonsillitis is inflammation of the tonsils, often due to bacterial or viral infection."
Sciatica,"lower back pain,leg pain,numbness","Pain relievers,Physical therapy","Stay active,avoid prolonged sitting","Sciatica is pain along the sciatic nerve, often due to a herniated disc."
Otitis Media,"ear pain,fever,hearing loss","Antibiotics,Pain relievers","Keep ears dry,avoid smoking","Otitis Media is a middle ear infection, common in children, causing pain."
Hemorrhoids,"rectal pain,itching,bleeding","Topical analgesics,Fiber supplements","Avoid straining,maintain hygiene","Hemorrhoids are swollen veins in the rectum, causing discomfort and bleeding."
Sleep Apnea,"snoring,fatigue,daytime sleepiness","CPAP therapy,Lifestyle changes","Maintain healthy weight,avoid alcohol","Sleep Apnea is a disorder causing breathing pauses during sleep."
Prostate Enlargement,"frequent urination,weak stream","Alpha blockers,5-alpha reductase inhibitors","Avoid caffeine,regular check-ups","Prostate Enlargement is a common condition in older men, affecting urination."
Gallstones,"abdominal pain,nausea,vomiting","Pain relievers,Cholecystectomy","Low-fat diet,maintain healthy weight","Gallstones are hardened deposits in the gallbladder, causing pain and digestive issues."
Anxiety Disorder,"restlessness,rapid heartbeat,sweating","Antidepressants,Anti-anxiety drugs","Practice relaxation,seek therapy","Anxiety Disorder involves excessive worry and fear, impacting daily life."
Depression,"sadness,fatigue,loss of interest","Antidepressants,Supportive care","Seek therapy,stay socially active","Depression is a mood disorder causing persistent sadness and loss of interest."
Bipolar Disorder,"mood swings,mania,depression","Mood stabilizers,Antipsychotics","Maintain routine,avoid triggers","Bipolar Disorder involves extreme mood swings, from mania to depression."
Schizophrenia,"hallucinations,delusions,disordered thinking","Antipsychotics,Supportive care","Regular therapy,avoid stress","Schizophrenia is a mental disorder causing distorted thinking and perceptions."
ADHD,"inattention,hyperactivity,impulsivity","Stimulants,Behavioral therapy","Structured routine,limit distractions","ADHD is a neurodevelopmental disorder affecting focus and behavior."
Autism Spectrum Disorder,"social challenges,repetitive behaviors","Behavioral therapy,Supportive care","Structured environment,early intervention","Autism is a developmental disorder affecting communication and behavior."
Cushing’s Syndrome,"weight gain,moon face,fatigue","Cortisol inhibitors,Surgery","Monitor cortisol levels,healthy diet","Cushing’s Syndrome is caused by excess cortisol, leading to weight gain."
Hyperthyroidism,"weight loss,rapid heartbeat,sweating","Antithyroid drugs,Beta blockers","Avoid caffeine,regular monitoring","Hyperthyroidism is overactive thyroid causing rapid metabolism and weight loss."
Hypothyroidism,"fatigue,weight gain,cold intolerance","Levothyroxine,Supportive care","Regular thyroid tests,healthy diet","Hypothyroidism is underactive thyroid causing slow metabolism and fatigue."
Multiple Sclerosis,"numbness,fatigue,vision problems","Immunomodulators,Corticosteroids","Stay active,manage stress","Multiple Sclerosis is an autoimmune disease affecting the nervous system."
Amyotrophic Lateral Sclerosis,"muscle weakness,slurred speech","Riluzole,Supportive care","Physical therapy,avoid overexertion","ALS is a progressive neurodegenerative disease affecting motor neurons."
Stroke,"sudden weakness,slurred speech,vision loss","Anticoagulants,Thrombolytics","Control blood pressure,healthy lifestyle","Stroke is a sudden interruption of blood flow to the brain, causing damage."
Heart Failure,"shortness of breath,swelling,fatigue","Diuretics,Beta blockers","Reduce salt intake,monitor weight","Heart Failure is when the heart cannot pump blood effectively."
Peripheral Artery Disease,"leg pain,cramping,weakness","Statins,Antiplatelets","Exercise regularly,avoid smoking","PAD is narrowed arteries reducing blood flow to limbs, causing pain."
Deep Vein Thrombosis,"leg swelling,pain,redness","Anticoagulants,Pain relievers","Stay active,avoid prolonged sitting","DVT is a blood clot in a deep vein, often in the leg."
Pulmonary Embolism,"chest pain,shortness of breath,rapid heartbeat","Anticoagulants,Oxygen therapy","Avoid immobility,monitor symptoms","Pulmonary Embolism is a blood clot blocking a lung artery, causing breathing issues."
Pancreatitis,"abdominal pain,nausea,fever","Pain relievers,IV fluids","Avoid alcohol,low-fat diet","Pancreatitis is inflammation of the pancreas, causing severe abdominal pain."
Leukemia,"fatigue,bruising,frequent infections","Chemotherapy,Targeted therapy","Regular monitoring,avoid infections","Leukemia is a blood cancer affecting white blood cells, causing fatigue."
Lymphoma,"swollen lymph nodes,fever,weight loss","Chemotherapy,Immunotherapy","Regular check-ups,healthy lifestyle","Lymphoma is a cancer of the lymphatic system, causing lymph node swelling."
Ovarian Cancer,"abdominal bloating,pelvic pain,fatigue","Chemotherapy,Surgery","Regular screenings,healthy diet","Ovarian Cancer is a malignant growth in the ovaries, often detected late."
Cervical Cancer,"abnormal bleeding,pelvic pain,discharge","Chemotherapy,Radiation therapy","Regular Pap smears,HPV vaccination","Cervical Cancer is a malignancy in the cervix, often linked to HPV."
Rheumatoid Arthritis,"joint pain,swelling,fatigue","DMARDs,Corticosteroids","Stay active,manage stress","Rheumatoid Arthritis is an autoimmune disorder causing chronic joint inflammation."
Sjogren’s Syndrome,"dry eyes,dry mouth,joint pain","Artificial tears,Immunosuppressants","Stay hydrated,regular check-ups","Sjogren’s Syndrome is an autoimmune disorder affecting moisture-producing glands."